model,b1,log10c0,p1,E1,E2,log10delta1,log10delta2,pop_frac1,pop_frac2,strategy1,strategy2,batches,steady_state,fullname
1,0.5,0,0.5,1,1,-1.5,-0.5,0.5,0.5,1.77645040660727e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_162.mat
1,0.5,0,0.5,1,1,-1.5,0,0.5,0.5,1.77645040660727e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_163.mat
1,0.5,0,0.5,1,1,-1,-2.5,0.5,0.5,1,1.72996310408839e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_164.mat
1,0.5,0,0.5,1,1,-1,-2,0.5,0.5,1,1.74025167594949e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_165.mat
1,0.5,0,0.5,1,1,-1,-1.5,0.5,0.5,1,1.77645040660727e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_166.mat
1,0.5,0,0.5,1,1,-1,-1,0.5,0.5,0.332442854,0.332442854,1000,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_167.mat
1,0.5,0,0.5,1,1,-1,-0.5,0.5,0.5,1.79471646015949e-312,1,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_168.mat
1,0.5,0,0.5,1,1,-1,0,0.5,0.5,1.79471646015949e-312,1,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_169.mat
1,0.5,0,0.5,1,0.9,-1.5,-1,0.500000003,0.499999997,1.84916157522581e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_17.mat
1,0.5,0,0.5,1,1,-0.5,-2.5,0.5,0.5,1,1.72996310408839e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_170.mat
1,0.5,0,0.5,1,1,-0.5,-2,0.5,0.5,1,1.74025167594949e-312,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_171.mat
